Title,URL,Price,Ratings
"ASUS Vivobook 15, Intel Core i5-1235U 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office 2021/Backlit Keyboard/Quiet Blue/1.7 kg), X1504ZA-NJ521WS",https://www.amazon.in/ASUS-Vivobook-i5-1235U-Keyboard-X1504ZA-NJ521WS/dp/B0C8K26BK8/ref=sr_1_31?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-31,"54,990",4.7 out of 5 stars
Information not available,Information not available,Information not available,Information not available
"ASUS Vivobook 15, Intel Core i5-1235U 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office 2021/Backlit Keyboard/Quiet Blue/1.7 kg), X1504ZA-NJ521WS",https://www.amazon.in/ASUS-Vivobook-i5-1235U-Keyboard-X1504ZA-NJ521WS/dp/B0C8K26BK8/ref=sr_1_31?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-31,"54,990",4.7 out of 5 stars
Information not available,Information not available,"54,990",Information not available
Information not available,Information not available,Information not available,Information not available
"Walker Notebook/Laptop Pc Model No-Nu14A1,14.1 Inches,Gemini Celeron N 4020,4 Gb Ram,128 Gb Ssd,Windows 11 Home Sl- Colour Gray,Intel",https://www.amazon.in/Walker-Notebook-No-Nu14A1-Celeron-Windows/dp/B0C6DTCSTV/ref=sr_1_32?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-32,"16,990",4.0 out of 5 stars
Information not available,Information not available,Information not available,Information not available
"Walker Notebook/Laptop Pc Model No-Nu14A1,14.1 Inches,Gemini Celeron N 4020,4 Gb Ram,128 Gb Ssd,Windows 11 Home Sl- Colour Gray,Intel",https://www.amazon.in/Walker-Notebook-No-Nu14A1-Celeron-Windows/dp/B0C6DTCSTV/ref=sr_1_32?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-32,"16,990",4.0 out of 5 stars
Information not available,Information not available,"16,990",Information not available
Information not available,Information not available,Information not available,Information not available
Information not available,Information not available,Information not available,Information not available
Information not available,Information not available,Information not available,Information not available
Information not available,Information not available,Information not available,Information not available
Information not available,Information not available,Information not available,Information not available
Information not available,Information not available,Information not available,Information not available
Information not available,Information not available,Information not available,Information not available
Information not available,Information not available,Information not available,4 Stars & Up
